Metadata,,,,
Year,Round 1 Date,Round 2 Date,Round 3 Date,Round 4 Date
2023-24,"April 11, 2024","April 12, 2024","April 13, 2024","April 14, 2024"
2018-19,"April 11, 2019","April 12, 2019","April 13, 2019","April 14, 2019"
2013-14,"April 10, 2014","April 11, 2014","April 12, 2014","April 13, 2014"
2008-09,"April 9, 2009","April 10, 2009","April 11, 2009","April 12, 2009"
2003-04,"April 8, 2004","April 9, 2004","April 10, 2004","April 11, 2004"
,,,,
Amount of Players,29,,,
,,,,
Course Played At,,,,
Augusta National Golf Club,,,,
,,,,
Dublin Core Metadata Standard,,,,
Title,Top Five Places in the Masters from 2004 - 2024 (5 Year Intervals),,,
Subject,Masters Golf Tournament--History,,,
Description,A dataset of the top five places in the Masters golf tournament in 5 year intervals from 2004 - 2024,,,
Creator,Masters Golf Tournament,,,
Publisher,Masters Golf Tournament,,,
Contributor,Masters Golf Tournament,,,
Date,2024-11-02,,,
Type,Dataset,,,
Format,CSV,,,
Idenifier,https://docs.google.com/spreadsheets/d/14CrLU41gwTZtpZ7Mp4K9n_q1XoMvSB5A4JddHe1B5jA/edit?usp=sharing,,,
Source,https://www.pgatour.com/tournaments/2024/masters-tournament/R2024014/past-results,,,
Language,English,,,
Rights,Copyright Not Evaluated,,,